abelha bee
aço steel
açúcar sugar
adulto adult
advogado lawyer
aeroporto airport
afiado sharp
agora now
alface lettuce
algodão cotton
alho garlic
almofada cushion
aluno pupil
amanhã tomorrow
amarelo yellow
ambos both
ambulância ambulance
ameixa plum
amigo friend
amor love
anel ring
anfitrião host
aniversário birthday
ano year
anualmente annually
anúncio advert
apertado tight
aqui here
armário cupboard
arrumado tidy
artista artist
árvore tree
assento seat
assinatura signature
até until
atencioso helpful
atletismo athletics
avaria breakdown
avenida avenue
avião plane
azul blue
bacalhau cod
bagagem luggage
baixo low
cão dog
balcão counter
banana banana
banco bank
barato cheap
barba beard
barco boat
barriga tummy
barulhento noisy
batata potato
batom lipstick
beijo kiss
bem-vindo welcome
biblioteca library
bicicleta bicycle
bife steak
biologia biology
blusa blouse
boca mouth
bolacha biscuit
bombeiro fireman
boné cap
bonito pretty
bota boot
botão button
boxe boxing
braço arm
branco white
brinco earring
brinquedo toy
cabeleireiro hairdresser
cabelo hair
cabina cabin
cachecol scarf
cadeira chair
calças trousers
calculadora calculator
calor heat
camisa shirt
campista camper
canal canal
canoagem canoeing
cansado tired
cantina canteen
cantor singer
capital capital
carta letter
carteira wallet
carteiro postman
casaco coat
casado married
castelo castle
cavalo horse
cebola onion
cedo early
cenoura carrot
cereais cereals
cereja cherry
céu sky
chá tea
chama flame
chapéu hat
chave key
chegada arrival
cheio full
chouriço chorizo
chuva rain
chuvoso rainy
cidade city
ciência science
cinema cinema
cinto belt
clarinete clarinet
claro clear
cliente customer
clima climate
clube club
cobertor blanket
cobra snake
coelho rabbit
cogumelo mushroom
coisa thing
colar necklace
colher spoon
colina hill
com with
comédia comedy
complicado complicated
comportamento behaviour
compras shopping
computador computer
concerto concert
concordado agreed
contente glad
contra against
convite invitation
cor colour
coração heart
coro choir
corpo body
corredor corridor
corrida race
cortina curtain
costa coast
couro leather
couve cabbage
couve-flor cauliflower
cozinha kitchen
cozinheiro cook
criança child
cruzamento crossroads
curso course
curva bend
damasco apricot
dança dance
data date
dedo finger
degrau stair
delicioso delicious
dentista dentist
dentro inside
depois afterwards
desarrumado untidy
desejo wish
desempregado unemployed
destino destination
dia day
dicionário dictionary
diferente different
dinheiro money
direção direction
divertido entertaining
documentário documentary
doente ill
doentio unhealthy
dor pain
drama drama
e and
elefante elephant
em in
enfermeiro nurse
enfermeira nurse
engenheiro engineer
ensolarado sunny
entre between
entrevista interview
envelope envelope
errado wrong
erro mistake
ervilhas peas
escadas stairs
escola school
escolha choice
escuro dark
espelho mirror
espinafre spinach
esplêndido splendid
estação season
estádio stadium
estágio apprenticeship
estrangeiro foreigner
estranho strange
estreito narrow
estrela star
estudante student
estúpido stupid
euro euro
europeu european
exatamente exactly
exame examination
exemplo example
exercício exercise
exército army
fábrica factory
faca knife
fácil easy
família family
fantástico fantastic
farol headlight
favorável favourable
feio ugly
férias holiday
ferramenta tools
festa party
festival festival
figado liver
filha daughter
fim end
finalmente finally
física physics
flauta flute
flor flower
folheto leaflet
fome hunger
fora outside
forno oven
forte strong
foto photo
fotografia photography
fotógrafo photographer
fraco weak
framboesa raspberry
fresco fresh
fruta fruit
furo puncture
futebol football
ganso goose
garrafa bottle
gasolina petrol
gato cat
geada frost
gelo ice
geografia geography
gerente manager
gordo fat
gravata tie
grave serious
gripe flu
guarda-chuva umbrella
guarda-roupa wardrobe
habitante inhabitant
helicóptero helicopter
história history
histórico historical
hoje today
homem man
honesto honest
hospital hospital
hotel hotel
idade age
ideia idea
igreja church
ilha island
imediatamente immediately
impossóvel impossible
incluído included
infância childhood
infelizmente unfortunately
informação information
inseto insect
instrumento instrument
inteligente intelligent
interessante interesting
internet internet
inútil useless
iogurte yoghurt
ipod ipod
irmã sister
já already
janela window
jardim garden
joelho knee
jogador player
jogo game
jornal newspaper
jornalista journalist
lã wool
lábio lip
laboratório laboratory
lago lake
lâmpada lamp
lanterna torch
lápis pencil
largo wide
lavatório washbasin
leão lion
leite milk
lenço handkerchief
liga league
limão lemon
limonada lemonade
limpo clean
lindo beautiful
lista list
livraria bookshop
livro book
loja shop
lojista shopkeeper
lugar place
luva glove
luxo luxury
luz light
maçã apple
macaco monkey
macio smooth
mãe mother
mãe mum
mais more
mala suitcase
manga sleeve
manteiga butter
mão hand
mapa map
mar sea
maravilhoso wonderful
marido husband
mas but
matemática maths
material material
mecânico mechanic
meia-noite midnight
meio-dia midday
mel honey
melhor better
menos less
mês month
mesa table
metal metal
microondas microwave
mochila rucksack
moderado moderate
modo manner
moeda coin
molhado wet
momento moment
morango strawberry
morto dead
mosca fly
mostarda mustard
motorista driver
muito very
mulher woman
mundo world
museu museum
músico musician
nada nothing
não no
nariz nose
nascido born
nascimento birth
natação swimming
nervoso nervous
neve snow
nevoeiro fog
norte north
notícias news
novo new
noz nut
número number
nunca never
nuvem cloud
ocidental western
oeste west
ok ok
olá hello
óleo oil
olho eye
ombro shoulder
onda wave
ontem yesterday
ópera opera
ou or
outro other
ovelha sheep
pacote packet
página page
pai father
pais parents
palavra word
par pair
parque park
parte part
particular particular
particularmente particularly
partida departure
passageiro passenger
passaporte passport
passatempo hobby
pato duck
pedra stone
peixe fish
pente comb
pepino cucumber
pêra pear
perfeito perfect
perfume perfume
perigo danger
periquito budgerigar
perna leg
peru turkey
pescoço neck
pêssego peach
piano piano
pijama pyjamas
pimenta pepper
piquenique picnic
pires saucer
planta plant
pneu tyre
podcast podcast
polícia police
poltrona armchair
poluição pollution
ponte bridge
